  Ax   Bx   By   Cy   Cx   Dx   Dy   Ay   AQ   AL   BQ   BL   CQ   CL   DQ   DL
  9.   9.   0.   0.  16.   17.   7.   8.   0.  11.   0.   0.  14.   0.  28.   0. 
 18.  18.  21.  22.   0.    0.  39.  40.  18.   2.   2.   6.   0.   2.  18.   0. 
  7.   8.   0.   0.  43.   43.  35.  36.  24.   7.   7.   0.   0.   8.  43.   0. 
 44.  44.   0.   0.  15.   15.  41.  41.  18.   0.   0.   0.   0.   0.  31.   0. 
  3.   3.   9.   9.  13.   14.   1.   1.  28.   0.   0.  28.  52.   0.  21.  28. 
 19.  19.  22.  23.   0.    0.   3.   4.   0.  20.  12.  14.  11.  12.  12.   0. 
  2.   3.   1.   1.   1.    2.   0.   0.  10.  28.   0.  12.  26.   0.   0.  10. 
  8.   8.   8.   8.   0.    0.   0.   0.  18.  15.  19.   0.   0.  31.  15.   0. 
  5.   5.   1.   1.   6.    6.   0.   0.  18.   0.  33.  18.  18.  14.   0.  20. 
 12.  12.  16.  16.   0.    0.   6.   6.   1.   3.   0.   3.   1.   0.   0.   1. 
 27.  27.  13.  13.   1.    1.  13.  13.  14.   8.  14.  14.  14.   0.   0.  14. 
  3.   3.  18.  18.   0.    0.  21.  21.   8.  12.  12.   6.   0.  12.  49.   0. 
 22.  22.   1.   1.  38.   38.  15.  15.   0.  16.  16.   0.   1.  16.  20.   0. 
  0.   0.  18.  18.  17.   17.   1.   1.  11.   0.  18.  11.  11.  35.   0.  12. 
 10.  10.  11.  12.   4.    4.   0.   0.  28.   0.  14.  28.  28.  17.   0.  28. 
 51.  52.  36.  37.  15.   15.   0.   0.  18.   8.   8.   7.   0.  36.   8.   0. 
  6.   7.  18.  18.  26.   27.  51.  51.  10.   0.   0.   4.   4.   0.  13.   4. 
  6.   6.   0.   0.   6.    6.   0.   0.   6.  26.  14.   6.  14.   0.   0.  60. 
  6.   7.   0.   0.  12.   13.   6.   6.   0.  12.   3.   0.   9.   3.   3.  26. 
  0.   0.  15.  15.   0.    0.  15.  15.   0.  15.  14.   0.  38.  12.  12.  18. 
  5.   5.  23.  23.   7.    7.  11.  11.   0.  22.  22.  26.   0.  34.  22.   0. 
  3.   4.  13.  14.  22.   22.   5.   5.   0.  14.  14.   0.  10.  14.  18.   0. 
 18.  18.  23.  24.  27.   27.   0.   0.   0.   0.  42.   0.   0.  36.   0.   0. 
 17.  18.  47.  47.  26.   26.   3.   4.  12.   0.   2.  12.  20.   0.   0.  12. 
 38.  38.  22.  23.  20.   21.   0.   0.   1.   0.   7.   1.   8.   0.   0.   1. 
  0.   0.   7.   7.   0.    0.   7.   7.  46.   2.   2.  14.   0.   8.  12.   0. 
  0.   0.  26.  26.  21.   21.   5.   5.   0.   7.   8.   0.   0.   8.   7.  38. 
  7.   8.  21.  21.   2.    2.  11.  12.   0.  21.  21.   7.  13.  21.  21.   0. 
  0.   0.  34.  34.  33.   34.  13.  14.   9.   0.   0.   9.  25.   0.  14.   9. 
 20.  20.   0.   0.   8.    8.  12.  12.   7.  29.  34.   0.   0.  29.  29.  28. 
  8.   8.  11.  12.   1.    1.   3.   3.   6.   0.   2.   6.   6.  42.   0.   6. 
  0.   0.  34.  34.  48.   49.  41.  41.  16.   0.   0.  16.  16.   9.   0.  20. 
 18.  19.  15.  16.  34.   34.   0.   0.   0.   7.   7.  14.  19.   7.  20.   0. 
  0.   0.  35.  35.  35.   35.   0.   0.  18.   0.   0.  19.  18.  54.  32.  18. 
  2.   2.  25.  25.  12.   12.  11.  11.  10.   0.   0.  23.  35.   0.   0.  10. 
 23.  23.  55.  55.  12.   12.  20.  20.   0.  17.  17.  31.  19.  17.  17.   0. 
  0.   0.  34.  34.   0.    0.  34.  34.  30.   0.   6.   0.   0.   2.   0.  39. 
 26.  27.  34.  35.  18.   18.   0.   0.   0.  20.  40.   0.   3.  20.  20.   0. 
